id,vendorId,ident,name,hex
1,5,034,"Antique Parchment",f8f4e8
2,5,042,"Adobe Cream",f9edda
3,5,027,"Autumn Red",93403b
4,5,526,"Canyon Drift",8b7f6e
5,5,,"Cape Cod Blue",aab5b1
6,5,112,"Coastal Sage",a7ac9d
7,5,165,"Colonial Ivory",f0e1c8
8,5,525,"Deep Moss",6e6f5f
9,5,123,"Glacier White",ffffff
10,5,,"London Brown",7c634d
11,5,176,Maple,e6daca
12,5,048,"Monterey Sand",d5cbb9
13,5,183,"Mystic Blue",90a6ad
14,5,277,"Natural Linen",f0ece4
15,5,017,"Platinum Gray",e1deda
16,5,177,"Silver Moss",dad4c8
17,5,132,Slate,a39f99
19,5,069,"Vintage Wicker",c9c0a5
20,5,229,Walnut,958176
21,5,220,"Cape Cod Grey",ACACAC
22,5,,"Somerset Wheat",b39a6e
24,5,,"Midnight Blue",646c75
26,5,,"Juniper Ridge",acb095
29,5,,Storm,919594
30,5,,Acorn,c0a99c
31,5,,Balsam,b1ab9d
32,5,,Flagstone,aca3a1
33,5,,Hawthorne,a99789
34,5,,Hemlock,918c7a
35,5,,"Sand Dune",d1c1ae
36,5,170,Heather,cbbdb2
37,5,230,Ivy,62867c
38,5,,White,ffffff
39,5,,Black,3e4246
40,5,,"Coffee Brown",6a461d
41,5,,"Heritage Green",114838
42,5,,"Hunter Green",45554a
43,5,,Brick,8d5049
44,5,,"Wedgewood Blue",849ca1
45,5,,"Ocean Blue",083049
46,5,,"Storm Gray",b7afad
47,5,,Merlot,591a2c
48,5,,Cranberry,944a57
49,5,,"Navy Blue",04303f
51,5,,"Musket Brown",514745
52,2,AC-41,"Acadia White",f3f0e0
53,2,2105-60,"Acapulco Sand",dbc7be
54,2,AC-7,"Adobe Beige",d8c3a9
56,2,2101-50,Allspice,c7a8a0
57,2,2101-40,"Almond Beige",a57e73
58,2,2149-70,"Alpine White",f5f5e4
61,2,HC-167,"Amherst Gray",767771
62,2,2126-30,"Anchor Gray",5f646a
63,2,2026-40,"Apple Green",d3e066
64,2,2015-70,"Apricot Ice",f9eedc
66,2,2050-60,"Arctic Blue",c2e2df
67,2,2048-30,"Aruba Blue",008c84
68,2,2156-50,"Asbury Sand",f5cf9c
69,2,2027-70,"Aspen White",f3f4d8
70,2,2162-10,"Autumn Bronze",825e34
71,2,2152-20,"Aztec Yellow",b78f47
72,2,515,"Baby Turtle",b5aa86
73,2,243,"Baffin Island",c2b798
74,2,1066,"Barely Beige",eadec6
75,2,2025-70,"Barely Yellow",f5f4d7
76,2,1070,"Barley Harvest",c29e74
77,2,2065-70,"Bashful Blue",c6e3ef
78,2,2029-10,"Basil Green",5e9032
79,2,2146-70,"Bavarian Cream",f8f8e8
80,2,1511,"Bed of Ferns",9a9376
81,2,AC-2,"Berkshire Beige",aea28c
82,2,2100-60,"Bermuda Sands",ddc8c0
83,2,AC-37,"Big Bend Beige",d0c5b9
84,2,HC-80,"Bleeker Beige",cabda6
85,2,1067,"Blond Wood",e3cfb0
86,2,2050-70,"Blue Bonnet",dbede9
87,2,2053-40,"Blue Lake",549ba4
88,2,2052-40,"Blue Spa",489da0
89,2,HC-48,"Bradstreet Beige",d0baa2
90,2,2166-30,"Bronze Tone",c57742
91,2,2151-50,"Bronzed Beige",e8d6ab
92,2,HC-47,"Brookline Beige",bda386
93,2,2124-50,"Bunny Gray",d3d7da
94,2,2167-10,"Burnt Caramel",c56c39
95,2,2165-70,"Butter Pecan",f9f2e2
96,2,533,"Calming Aloe",e9edd3
97,2,2016-70,"Cancun Sand",f9efd9
98,2,2164-70,"Candle White",f3e9de
99,2,AC-34,"Cape Hatteras Sand",bcb4aa
100,2,2160-10,"Caramel Corn",ae7d3c
101,2,2166-20,"Caramel Latte",be6b34
102,2,2127-70,"Cascade White",dce1e1
103,2,2028-60,"Celadon Green",eaedc3
104,2,2030-60,"Celery Ice",d7eec5
106,2,2126-70,"Chalk White",e7e9e7
107,2,225,"Chatsworth Cream",eee6cf
109,2,2052-60,"China Blue",b1d8db
110,2,HC-102,"Clarksville Gray",b1a78e
111,2,OC-23,"Classic Gray",e3e0d7
112,2,1525,"Cleveland Green",8f8264
113,2,2107-70,"Cloudy Gray",e7e1db
115,2,HC-12,"Concord Ivory",e5c889
117,2,"Ext Rm","Cottage Red",632925
118,2,2159-60,"Cream ",f9e7c8
119,2,2158-70,"Cream Froth",f9f0e0
120,2,2146-60,"Cream Silk",f3f2d8
121,2,2155-60,"Cream Yellow",fceac1
122,2,2016-60,"Creamy Beige",fde7c6
123,2,2022-70,"Creme Brulee",f7f4d8
124,2,910,"Creme Caramel",f1e1ca
125,2,2036-70,"Creme de mint",e1f3e5
126,2,2023-70,"Creme Fraiche",f8f5d8
127,2,234,"Crisp Khaki",d2c6a9
129,2,HC-103,"Cromwell Gray",7e7666
130,2,HC-90,"Crown Point Sand",cdc1a3
131,2,HC-106,"Crownsville Gray",847d66
132,2,2051-70,"Crystal Blue",d7e9e8
133,2,,"Cushing Green",697767
134,2,2034-70,"Daiquiri Ice",e2eedf
135,2,2072-10,"Dark Basalt",3d3438
136,2,2165-40,"Dark Beige",d4af7e
137,2,2147-60,"Dark Linen",a97c50
138,2,2161-30,"Dark Mustard",a97c50
139,2,2098-30,"Dark Nut Brown",775548
140,2,2140-30,"Dark Olive",636354
141,2,2122-10,"Dark Pewter",4c5756
142,2,2053-20,"Dark Teal",295b5e
143,2,HC-38,"Decatur Buff",bfa57c
144,2,1582,"Deep River",4c4f4b
145,2,2111-10,"Deep Taupe",5a4536
146,2,2162-20,"Desert Camel",8b663a
147,2,2114-30,"Desert Shadows",685654
148,2,2153-50,"Desert Tan",e7d0a2
149,2,2137-40,"Desert Twilight",8d8a7d
150,2,2124-70,"Distant Gray",eff0ed
151,2,1510,"Dried Basil",afaa90
152,2,522,"Dried Parsley",ccc9a4
153,2,2106-50,"Driftscape Tan",bda99f
154,2,2142-40,"Dry Sage",a4a085
155,2,492,"Dune Grass",dbdabf
156,2,2174-40,"Dusty Mauve",d18e82
158,2,2109-50,"Elephant gray",b5aaa6
159,2,2144-20,"Eucalyptus Leaf",83845c
160,2,2024-20,"Eve Green",c6b517
161,2,2118-50,"Excalibur Gray",a7a9b2
162,2,1071,"Fairmont Gold",a88058
164,2,2102-70,"First Light",eddfdb
165,2,2050-40,"Florida Keys Blue",6faaa6
166,2,2149-30,"Fresh Olive",aa9554
167,2,2010-70,"Frosty Pink",feeae4
168,2,2134-70,"Genesis White",dfe2e1
169,2,HC-56,"Georgetown Pink Beige",dcbfa9
171,2,HC-115,"Georgian Green",b5b48f
172,2,HC-107,"Gettysburg Gray",9a9584
